neighbourhood_158,occ_year,total_collisions,fatalities,injury_collisions,pd_collisions,ftr_collisions,pedestrian_collisions,bicycle_collisions,motorcycle_collisions,automobile_collisions
Fort York-Liberty Village (163),2025,394,0,59,250,86,10,12,2,386
Glenfield-Jane Heights (25),2014,457,0,81,279,104,18,7,2,452
Glenfield-Jane Heights (25),2015,443,0,73,273,115,16,5,3,440
Glenfield-Jane Heights (25),2016,498,3,87,305,118,18,4,3,492
Glenfield-Jane Heights (25),2017,466,1,61,292,127,11,1,2,460
Glenfield-Jane Heights (25),2018,527,0,73,328,143,15,3,0,516
Glenfield-Jane Heights (25),2019,485,0,62,365,108,11,2,1,475
Glenfield-Jane Heights (25),2020,343,0,47,250,64,13,2,2,338
Glenfield-Jane Heights (25),2021,356,0,47,270,72,8,5,2,356
Glenfield-Jane Heights (25),2022,403,0,38,333,34,5,5,0,400
Glenfield-Jane Heights (25),2023,421,0,55,259,108,12,4,1,419
Glenfield-Jane Heights (25),2024,405,1,90,189,126,18,5,2,397
Glenfield-Jane Heights (25),2025,372,0,66,206,100,6,6,3,369
Golfdale-Cedarbrae-Woburn (141),2014,509,0,90,315,107,19,9,7,504
Golfdale-Cedarbrae-Woburn (141),2015,504,0,86,335,93,12,4,2,503
Golfdale-Cedarbrae-Woburn (141),2016,573,0,99,363,115,18,4,1,569
Golfdale-Cedarbrae-Woburn (141),2017,623,1,125,401,111,22,2,3,615
Golfdale-Cedarbrae-Woburn (141),2018,685,1,113,463,131,18,2,3,669
Golfdale-Cedarbrae-Woburn (141),2019,613,2,98,428,108,15,1,2,600
Golfdale-Cedarbrae-Woburn (141),2020,372,0,45,296,42,5,8,2,371
Golfdale-Cedarbrae-Woburn (141),2021,362,0,62,262,52,12,6,0,361
Golfdale-Cedarbrae-Woburn (141),2022,475,2,62,365,81,9,1,1,475
Golfdale-Cedarbrae-Woburn (141),2023,443,1,53,291,120,9,2,5,443
Golfdale-Cedarbrae-Woburn (141),2024,459,0,73,277,116,18,6,1,454
Golfdale-Cedarbrae-Woburn (141),2025,465,0,73,281,111,19,3,0,460
Greenwood-Coxwell (65),2014,202,0,35,139,29,7,8,3,198
Greenwood-Coxwell (65),2015,199,1,40,115,50,9,10,1,199
Greenwood-Coxwell (65),2016,212,0,41,135,42,11,8,7,212
Greenwood-Coxwell (65),2017,224,0,45,151,39,9,10,2,221
Greenwood-Coxwell (65),2018,257,0,34,173,57,10,4,3,250
Greenwood-Coxwell (65),2019,228,0,22,157,57,3,2,1,225
Greenwood-Coxwell (65),2020,164,0,17,130,23,1,4,1,163
Greenwood-Coxwell (65),2021,155,0,24,113,22,2,9,2,153
Greenwood-Coxwell (65),2022,166,0,22,129,30,6,6,2,164
Greenwood-Coxwell (65),2023,188,0,30,133,32,3,7,0,187
Greenwood-Coxwell (65),2024,185,0,19,118,51,3,4,4,183
Greenwood-Coxwell (65),2025,185,0,23,110,53,3,5,2,183
Guildwood (140),2014,81,0,14,58,10,0,0,1,81
Guildwood (140),2015,99,0,20,60,21,6,2,1,98
Guildwood (140),2016,94,1,11,61,23,3,0,1,93
Guildwood (140),2017,103,1,20,66,19,8,1,0,103
Guildwood (140),2018,88,0,13,64,14,0,2,0,88
Guildwood (140),2019,93,0,12,68,15,0,0,1,92
Guildwood (140),2020,59,0,8,46,7,1,0,1,58
Guildwood (140),2021,57,0,9,41,8,1,0,0,57
Guildwood (140),2022,72,1,8,60,7,2,1,0,72
Guildwood (140),2023,91,0,18,54,20,1,0,1,90
Guildwood (140),2024,100,0,14,64,25,1,1,0,100
Guildwood (140),2025,104,0,17,72,16,3,1,0,104
Harbourfront-CityPlace (165),2014,571,0,65,423,89,14,9,4,564
Harbourfront-CityPlace (165),2015,757,0,114,559,101,20,16,7,752
Harbourfront-CityPlace (165),2016,788,1,108,556,139,19,13,8,776
Harbourfront-CityPlace (165),2017,870,0,102,657,133,16,12,10,859
Harbourfront-CityPlace (165),2018,896,0,89,707,119,17,13,7,854
Harbourfront-CityPlace (165),2019,881,0,76,724,118,20,18,6,863
Harbourfront-CityPlace (165),2020,401,0,43,327,49,10,10,3,397
Harbourfront-CityPlace (165),2021,468,1,44,376,64,12,4,3,463
Harbourfront-CityPlace (165),2022,652,0,59,546,57,14,16,3,636
Harbourfront-CityPlace (165),2023,668,0,76,476,126,18,14,2,661
Harbourfront-CityPlace (165),2024,741,0,94,515,141,16,6,8,736
Harbourfront-CityPlace (165),2025,629,0,75,452,103,16,11,5,621
Henry Farm (53),2014,141,0,8,91,42,3,0,0,141
Henry Farm (53),2015,167,0,13,117,38,3,1,0,165
Henry Farm (53),2016,153,0,18,92,46,7,2,2,151
Henry Farm (53),2017,176,0,20,122,34,7,0,1,176
Henry Farm (53),2018,219,0,19,151,56,6,0,0,217
Henry Farm (53),2019,194,0,14,145,44,4,0,0,193
Henry Farm (53),2020,94,0,4,75,20,2,0,0,92
Henry Farm (53),2021,77,0,11,56,11,5,0,1,77
Henry Farm (53),2022,129,0,8,108,19,3,2,0,129
Henry Farm (53),2023,147,0,11,94,45,2,2,2,144
Henry Farm (53),2024,180,1,20,116,45,6,4,1,178
Henry Farm (53),2025,159,0,20,89,52,9,1,0,158
High Park-Swansea (87),2014,351,0,48,229,75,7,5,5,349
High Park-Swansea (87),2015,386,1,49,262,82,8,11,6,381
High Park-Swansea (87),2016,381,0,51,256,85,10,15,4,376
High Park-Swansea (87),2017,481,1,71,330,91,7,11,5,472
High Park-Swansea (87),2018,471,2,52,320,106,9,3,2,451
High Park-Swansea (87),2019,449,0,50,349,79,10,3,1,443
High Park-Swansea (87),2020,247,0,39,183,33,12,13,2,242
High Park-Swansea (87),2021,267,2,30,207,46,3,10,2,267
High Park-Swansea (87),2022,324,0,30,276,23,5,12,2,316
High Park-Swansea (87),2023,368,0,44,258,70,6,6,1,366
High Park-Swansea (87),2024,364,1,63,221,80,10,17,3,357
High Park-Swansea (87),2025,319,0,33,198,88,2,9,4,314
High Park North (88),2014,303,2,47,209,46,10,10,3,299
High Park North (88),2015,345,1,48,239,62,12,10,2,344
High Park North (88),2016,314,0,49,215,56,13,7,5,314
High Park North (88),2017,335,1,41,230,72,12,4,4,326
High Park North (88),2018,339,0,31,251,67,10,7,5,327
High Park North (88),2019,393,0,37,325,45,6,5,5,383
High Park North (88),2020,236,0,29,188,30,9,15,1,232
High Park North (88),2021,216,1,34,166,26,8,14,3,215
High Park North (88),2022,268,0,24,234,13,9,12,2,260
High Park North (88),2023,306,0,49,204,54,9,14,1,297
High Park North (88),2024,271,0,54,162,55,16,13,1,267
High Park North (88),2025,273,0,47,155,71,8,18,1,265
Highland Creek (134),2014,179,0,23,132,24,3,2,1,178
Highland Creek (134),2015,223,0,53,138,34,6,5,2,221
Highland Creek (134),2016,214,0,52,131,36,7,0,2,214
Highland Creek (134),2017,199,1,39,116,48,7,2,0,197
Highland Creek (134),2018,195,0,30,141,32,4,2,1,191
Highland Creek (134),2019,213,0,27,155,36,0,1,0,209
Highland Creek (134),2020,85,0,20,60,6,1,1,0,84
Highland Creek (134),2021,119,0,21,86,16,2,1,1,117
Highland Creek (134),2022,184,0,26,144,20,4,3,0,183
Highland Creek (134),2023,236,0,40,155,49,5,3,0,236
Highland Creek (134),2024,252,0,43,157,54,4,4,1,250
Highland Creek (134),2025,219,0,37,140,44,5,3,1,219
Hillcrest Village (48),2014,460,1,52,334,75,17,1,0,457
Hillcrest Village (48),2015,482,0,60,349,77,16,2,1,480
Hillcrest Village (48),2016,485,3,70,341,73,13,4,1,483
Hillcrest Village (48),2017,442,0,79,292,74,13,2,6,437
Hillcrest Village (48),2018,471,0,76,324,76,11,2,2,463
Hillcrest Village (48),2019,420,1,64,292,74,13,0,1,417
Hillcrest Village (48),2020,197,0,30,149,23,6,2,0,194
Hillcrest Village (48),2021,196,0,33,142,27,5,4,0,195
Hillcrest Village (48),2022,269,0,31,219,26,6,1,2,268
Hillcrest Village (48),2023,357,0,35,252,78,5,3,1,355
Hillcrest Village (48),2024,348,0,53,229,66,8,0,2,343
Hillcrest Village (48),2025,388,0,61,254,73,15,4,0,381
Humber Bay Shores (161),2014,183,0,31,134,20,7,4,3,180
Humber Bay Shores (161),2015,307,1,53,218,49,9,3,2,306
Humber Bay Shores (161),2016,321,0,56,223,47,6,2,2,319
Humber Bay Shores (161),2017,285,0,47,201,44,4,2,3,284
Humber Bay Shores (161),2018,267,0,41,192,53,4,0,0,262
Humber Bay Shores (161),2019,283,0,43,218,38,9,1,2,279
Humber Bay Shores (161),2020,210,0,22,174,24,3,5,1,207
Humber Bay Shores (161),2021,260,0,34,200,45,8,4,0,258
Humber Bay Shores (161),2022,302,3,35,251,19,7,2,0,300
Humber Bay Shores (161),2023,295,0,39,210,47,2,1,0,294
Humber Bay Shores (161),2024,275,0,58,166,51,8,3,2,273
Humber Bay Shores (161),2025,280,0,39,185,57,3,5,0,276
Humber Heights-Westmount (8),2014,169,0,37,104,30,5,3,1,167
Humber Heights-Westmount (8),2015,190,0,43,128,20,4,3,1,188
Humber Heights-Westmount (8),2016,208,0,48,141,28,4,2,0,206
Humber Heights-Westmount (8),2017,185,0,34,130,23,5,0,1,181
Humber Heights-Westmount (8),2018,239,2,56,150,36,10,2,3,225
Humber Heights-Westmount (8),2019,207,0,27,169,25,1,6,2,203
Humber Heights-Westmount (8),2020,150,0,20,114,22,4,2,0,148
Humber Heights-Westmount (8),2021,155,0,27,121,20,4,3,3,153
Humber Heights-Westmount (8),2022,215,0,28,177,11,4,7,1,211
Humber Heights-Westmount (8),2023,225,1,38,155,31,5,3,0,224
Humber Heights-Westmount (8),2024,214,0,54,126,34,8,5,0,210
Humber Heights-Westmount (8),2025,219,0,51,131,37,6,2,1,217
Humber Summit (21),2014,566,0,85,380,105,14,7,2,561
Humber Summit (21),2015,656,1,89,430,152,16,3,0,654
Humber Summit (21),2016,713,0,118,475,143,21,5,2,708
Humber Summit (21),2017,719,1,114,476,148,23,1,4,708
Humber Summit (21),2018,742,2,103,503,160,15,2,4,724
Humber Summit (21),2019,780,3,85,614,130,12,2,2,769
Humber Summit (21),2020,431,0,40,341,63,12,2,5,426
Humber Summit (21),2021,479,0,35,403,62,8,1,1,479
Humber Summit (21),2022,529,0,44,456,34,7,1,2,526
Humber Summit (21),2023,571,0,71,404,96,10,3,2,567
Humber Summit (21),2024,598,0,113,369,117,12,4,0,595
Humber Summit (21),2025,674,1,128,407,139,14,8,2,665
Humbermede (22),2014,172,0,24,100,52,3,1,1,171
Humbermede (22),2015,179,0,23,114,50,10,0,1,179
Humbermede (22),2016,197,0,34,124,44,3,3,2,196
Humbermede (22),2017,247,0,29,161,63,9,0,0,244
Humbermede (22),2018,251,0,31,169,60,6,1,1,239
Humbermede (22),2019,188,0,19,146,35,3,1,0,188
Humbermede (22),2020,130,0,9,101,24,0,1,2,128
Humbermede (22),2021,142,2,15,109,26,1,1,4,142
Humbermede (22),2022,218,0,21,183,14,5,0,1,217
Humbermede (22),2023,226,0,38,146,42,4,2,0,226
Humbermede (22),2024,233,0,51,122,60,4,4,2,231
Humbermede (22),2025,231,0,40,139,53,3,2,0,231
Humewood-Cedarvale (106),2014,101,0,19,66,18,3,2,2,101
Humewood-Cedarvale (106),2015,106,1,7,78,22,3,0,1,105
Humewood-Cedarvale (106),2016,117,0,22,73,22,4,3,0,117
Humewood-Cedarvale (106),2017,105,0,11,71,27,5,1,2,102
Humewood-Cedarvale (106),2018,116,0,10,88,22,2,0,0,113
Humewood-Cedarvale (106),2019,108,0,5,92,14,1,0,0,106
Humewood-Cedarvale (106),2020,77,0,7,60,10,1,3,0,76
Humewood-Cedarvale (106),2021,72,0,5,56,17,3,1,1,71
Humewood-Cedarvale (106),2022,84,0,7,69,10,1,0,0,84
Humewood-Cedarvale (106),2023,65,0,5,43,17,1,3,1,63
Humewood-Cedarvale (106),2024,62,0,4,32,26,2,0,0,61
Humewood-Cedarvale (106),2025,70,0,12,43,15,5,1,0,69
Ionview (125),2014,233,1,38,155,41,12,3,3,231
Ionview (125),2015,255,0,39,175,44,4,2,2,255
Ionview (125),2016,244,1,37,176,34,7,1,2,243
Ionview (125),2017,292,0,56,209,35,10,1,2,289
Ionview (125),2018,284,1,51,202,34,10,1,0,276
Ionview (125),2019,316,0,32,251,42,5,2,0,310
Ionview (125),2020,168,0,31,127,15,8,1,1,167
Ionview (125),2021,155,0,14,128,16,1,0,0,154
Ionview (125),2022,200,0,25,165,17,1,3,0,198
Ionview (125),2023,246,0,34,175,48,2,5,2,244
Ionview (125),2024,266,0,43,176,53,4,5,2,261
Ionview (125),2025,244,0,38,157,49,10,2,0,243
Islington (158),2014,345,0,51,247,48,11,1,1,344
Islington (158),2015,384,1,64,252,76,13,4,1,382
Islington (158),2016,382,0,67,252,74,12,5,2,382
Islington (158),2017,373,0,78,235,68,14,2,3,370
Islington (158),2018,390,2,67,256,76,16,4,2,375
Islington (158),2019,405,0,40,329,61,8,2,3,400
Islington (158),2020,239,1,34,186,30,8,6,1,238
Islington (158),2021,195,2,25,151,26,3,2,0,195
Islington (158),2022,307,1,32,252,23,13,3,1,303
Islington (158),2023,315,1,44,228,44,7,5,2,310
Islington (158),2024,404,1,76,253,75,11,8,1,399
Islington (158),2025,353,0,53,232,68,7,6,1,348
Junction-Wallace Emerson (171),2014,309,0,49,185,81,9,19,8,306
Junction-Wallace Emerson (171),2015,354,0,66,220,71,14,24,3,352
Junction-Wallace Emerson (171),2016,369,0,64,229,84,12,16,2,365
Junction-Wallace Emerson (171),2017,402,0,54,254,106,8,20,4,395
Junction-Wallace Emerson (171),2018,381,0,52,258,83,13,8,1,366
Junction-Wallace Emerson (171),2019,385,0,26,314,76,7,12,2,376
Junction-Wallace Emerson (171),2020,257,0,23,208,36,6,14,2,254
Junction-Wallace Emerson (171),2021,234,0,35,170,43,13,15,1,231
Junction-Wallace Emerson (171),2022,289,1,25,245,19,6,18,0,284
Junction-Wallace Emerson (171),2023,344,0,47,226,71,8,19,1,341
Junction-Wallace Emerson (171),2024,328,0,52,194,84,10,19,2,322
Junction-Wallace Emerson (171),2025,317,1,41,193,83,10,14,4,309
Junction Area (90),2014,501,2,64,353,86,9,16,2,501
Junction Area (90),2015,603,0,85,414,116,19,24,4,601
Junction Area (90),2016,592,1,88,406,110,16,13,3,588
Junction Area (90),2017,632,0,87,445,118,22,11,5,620
Junction Area (90),2018,693,0,63,511,138,8,11,3,663
Junction Area (90),2019,735,0,54,600,120,10,10,3,725
Junction Area (90),2020,463,0,36,390,55,10,12,4,460
Junction Area (90),2021,472,0,33,401,61,6,6,6,468
Junction Area (90),2022,504,0,38,443,24,5,18,2,498
Junction Area (90),2023,671,1,84,461,126,17,17,8,666
Junction Area (90),2024,655,1,88,418,150,14,20,4,648
Junction Area (90),2025,575,0,75,367,134,13,14,4,564
Keelesdale-Eglinton West (110),2014,197,0,36,122,44,13,4,3,196
Keelesdale-Eglinton West (110),2015,232,1,41,137,60,14,1,1,231
Keelesdale-Eglinton West (110),2016,204,1,38,122,48,12,3,1,204
Keelesdale-Eglinton West (110),2017,231,0,37,146,59,8,3,2,225
Keelesdale-Eglinton West (110),2018,245,1,32,166,53,9,2,2,239
Keelesdale-Eglinton West (110),2019,217,0,23,172,37,5,3,0,213
Keelesdale-Eglinton West (110),2020,164,0,17,126,28,8,2,0,162
Keelesdale-Eglinton West (110),2021,154,0,13,121,30,3,4,0,154
Keelesdale-Eglinton West (110),2022,195,0,22,160,14,4,4,1,192
Keelesdale-Eglinton West (110),2023,241,0,31,163,49,11,4,1,239
Keelesdale-Eglinton West (110),2024,209,1,39,126,44,7,6,0,206
Keelesdale-Eglinton West (110),2025,182,0,28,113,41,3,3,0,182
Kennedy Park (124),2014,213,0,33,137,51,10,5,3,210
Kennedy Park (124),2015,223,0,45,152,30,9,3,4,222
Kennedy Park (124),2016,270,2,62,160,50,14,6,0,270
Kennedy Park (124),2017,263,0,55,161,52,7,3,2,261
Kennedy Park (124),2018,290,0,56,186,51,5,1,3,288
Kennedy Park (124),2019,299,1,46,195,66,11,2,1,292
Kennedy Park (124),2020,155,0,34,100,27,10,4,2,152
Kennedy Park (124),2021,138,0,19,98,26,2,2,0,138
Kennedy Park (124),2022,218,1,38,161,25,10,2,2,218
Kennedy Park (124),2023,262,0,44,172,61,8,4,2,259
Kennedy Park (124),2024,266,1,41,176,52,10,4,3,263
Kennedy Park (124),2025,283,0,47,176,61,11,2,0,281
Kensington-Chinatown (78),2014,582,2,86,360,144,40,35,9,575
Kensington-Chinatown (78),2015,614,0,101,384,143,33,43,8,607
Kensington-Chinatown (78),2016,686,0,98,428,177,32,37,12,676
Kensington-Chinatown (78),2017,752,1,106,509,168,44,36,5,740
Kensington-Chinatown (78),2018,714,0,75,523,140,23,25,11,688
Kensington-Chinatown (78),2019,711,0,73,546,145,30,23,5,698
Kensington-Chinatown (78),2020,382,1,34,302,61,11,19,4,374
Kensington-Chinatown (78),2021,391,1,55,294,64,18,31,4,385
Kensington-Chinatown (78),2022,543,0,53,454,56,22,26,3,533
Kensington-Chinatown (78),2023,582,0,69,368,154,23,37,5,569
Kensington-Chinatown (78),2024,639,0,59,399,184,27,32,4,621
Kensington-Chinatown (78),2025,543,0,77,323,145,27,40,2,525
Kingsview Village-The Westway (6),2014,272,0,51,168,58,7,5,1,269
Kingsview Village-The Westway (6),2015,287,0,48,196,51,5,5,1,287
Kingsview Village-The Westway (6),2016,358,0,82,217,69,22,5,2,356
Kingsview Village-The Westway (6),2017,339,0,64,214,73,8,1,0,336
Kingsview Village-The Westway (6),2018,315,0,53,205,79,14,2,0,303
Kingsview Village-The Westway (6),2019,322,1,56,246,44,13,2,2,311
Kingsview Village-The Westway (6),2020,196,0,31,147,24,5,0,2,194
Kingsview Village-The Westway (6),2021,200,0,35,148,27,3,1,1,199
Kingsview Village-The Westway (6),2022,289,0,45,231,13,6,1,1,289
Kingsview Village-The Westway (6),2023,312,1,62,193,56,14,5,1,309
Kingsview Village-The Westway (6),2024,309,0,56,190,63,9,0,2,307
Kingsview Village-The Westway (6),2025,332,1,58,214,61,7,3,1,330
Kingsway South (15),2014,184,1,27,128,28,6,2,3,182
Kingsway South (15),2015,185,0,28,128,32,6,2,2,183
Kingsway South (15),2016,186,1,30,126,34,10,2,0,185
Kingsway South (15),2017,208,0,29,147,37,6,3,2,205
Kingsway South (15),2018,164,0,26,123,16,6,3,1,161
Kingsway South (15),2019,201,1,33,151,25,9,1,4,196
Kingsway South (15),2020,82,1,20,56,6,6,1,2,81
Kingsway South (15),2021,105,0,12,80,19,3,5,1,104
Kingsway South (15),2022,145,0,14,126,5,2,2,1,143
Kingsway South (15),2023,165,1,20,118,28,2,3,1,160
Kingsway South (15),2024,152,0,27,104,22,2,5,2,152
Kingsway South (15),2025,142,0,28,87,27,4,5,0,140
L'Amoreaux West (147),2014,327,0,50,232,45,12,3,2,327
L'Amoreaux West (147),2015,365,0,67,261,42,12,2,2,365
L'Amoreaux West (147),2016,396,2,73,255,75,13,3,1,393
L'Amoreaux West (147),2017,401,1,88,269,47,23,5,2,398
L'Amoreaux West (147),2018,382,0,60,270,63,23,1,3,372
L'Amoreaux West (147),2019,403,1,75,272,67,19,3,1,396
L'Amoreaux West (147),2020,209,1,36,151,23,12,4,1,205
L'Amoreaux West (147),2021,158,2,26,111,25,13,3,0,157
L'Amoreaux West (147),2022,259,0,34,209,29,6,1,0,257
L'Amoreaux West (147),2023,312,0,53,204,66,15,4,1,309
L'Amoreaux West (147),2024,306,0,51,189,67,18,3,0,304
L'Amoreaux West (147),2025,338,0,55,206,78,15,5,1,334
Lambton Baby Point (114),2014,31,0,5,15,12,1,1,0,31
Lambton Baby Point (114),2015,25,0,3,14,10,2,0,0,25
Lambton Baby Point (114),2016,24,0,4,11,10,1,0,0,23
Lambton Baby Point (114),2017,27,0,5,18,5,1,1,0,26
Lambton Baby Point (114),2018,23,0,7,11,5,0,0,0,22
Lambton Baby Point (114),2019,15,0,1,9,6,0,0,0,15
Lambton Baby Point (114),2020,13,1,2,8,3,2,1,0,13
Lambton Baby Point (114),2021,12,0,3,8,3,3,0,0,12
Lambton Baby Point (114),2022,24,0,5,19,1,2,0,0,24
Lambton Baby Point (114),2023,22,0,2,19,2,2,0,0,22
Lambton Baby Point (114),2024,30,0,7,14,9,2,1,0,30
Lambton Baby Point (114),2025,18,0,2,9,7,1,1,0,18
Lansing-Westgate (38),2014,258,0,36,189,33,9,0,3,256
Lansing-Westgate (38),2015,326,0,51,223,55,16,2,3,323
Lansing-Westgate (38),2016,318,0,45,234,44,10,0,1,318
Lansing-Westgate (38),2017,300,0,45,216,44,8,3,1,298
Lansing-Westgate (38),2018,320,0,45,227,55,11,2,1,307
Lansing-Westgate (38),2019,301,1,30,243,42,8,1,0,294
Lansing-Westgate (38),2020,144,0,19,114,14,6,1,1,143
Lansing-Westgate (38),2021,160,0,16,129,35,5,3,0,158
Lansing-Westgate (38),2022,192,0,25,156,17,6,2,0,189
Lansing-Westgate (38),2023,230,0,29,166,43,4,2,2,227
Lansing-Westgate (38),2024,271,0,41,178,54,11,1,2,270
Lansing-Westgate (38),2025,258,0,36,159,64,5,2,0,257
Lawrence Park North (105),2014,300,0,25,211,68,8,2,0,300
Lawrence Park North (105),2015,282,0,37,190,58,10,2,1,282
Lawrence Park North (105),2016,296,0,30,206,61,4,3,0,296
Lawrence Park North (105),2017,372,1,36,278,65,5,4,2,367
Lawrence Park North (105),2018,395,1,29,293,73,5,0,1,388
Lawrence Park North (105),2019,353,1,20,294,52,5,2,0,348
Lawrence Park North (105),2020,210,0,9,185,20,3,2,0,210
Lawrence Park North (105),2021,189,0,14,157,24,6,3,0,186
Lawrence Park North (105),2022,275,0,18,247,16,5,1,4,272
Lawrence Park North (105),2023,303,0,31,223,55,4,3,3,303
Lawrence Park North (105),2024,329,0,42,214,74,10,2,2,329
Lawrence Park North (105),2025,285,0,29,198,58,8,5,0,281
Lawrence Park South (103),2014,246,0,29,171,47,12,4,1,245
Lawrence Park South (103),2015,225,2,30,151,44,9,7,1,224
Lawrence Park South (103),2016,259,0,32,197,34,7,3,0,259
Lawrence Park South (103),2017,238,0,35,170,42,6,1,2,233
Lawrence Park South (103),2018,247,1,22,186,43,7,1,0,236
Lawrence Park South (103),2019,272,0,20,232,32,2,1,0,270
Lawrence Park South (103),2020,140,0,19,107,18,2,2,1,139
Lawrence Park South (103),2021,142,0,11,122,20,4,1,0,142
Lawrence Park South (103),2022,178,0,22,147,14,8,1,0,178
Lawrence Park South (103),2023,209,0,26,140,46,6,4,1,206
Lawrence Park South (103),2024,164,0,25,108,33,4,1,1,164
Lawrence Park South (103),2025,205,0,30,129,47,6,3,0,204
Leaside-Bennington (56),2014,484,1,56,366,63,16,7,5,481
Leaside-Bennington (56),2015,535,0,59,410,70,4,4,4,533
Leaside-Bennington (56),2016,493,2,60,365,71,7,5,6,491
Leaside-Bennington (56),2017,551,0,70,423,65,9,9,3,549
Leaside-Bennington (56),2018,474,1,67,359,57,6,7,1,461
Leaside-Bennington (56),2019,466,1,50,358,77,7,0,5,463
Leaside-Bennington (56),2020,233,0,29,189,21,5,0,0,233
Leaside-Bennington (56),2021,215,0,14,178,28,5,3,0,215
Leaside-Bennington (56),2022,344,0,23,307,28,3,2,0,343
Leaside-Bennington (56),2023,452,0,51,329,82,11,6,5,450
Leaside-Bennington (56),2024,453,0,70,315,72,8,6,3,451
Leaside-Bennington (56),2025,464,0,53,339,75,7,3,0,461
Little Portugal (84),2014,174,0,28,108,41,5,8,2,171
Little Portugal (84),2015,186,0,29,119,42,7,17,3,186
Little Portugal (84),2016,212,0,32,143,42,8,12,2,208
Little Portugal (84),2017,265,1,32,194,50,9,4,3,263
Little Portugal (84),2018,254,0,29,174,60,5,11,4,248
Little Portugal (84),2019,240,0,18,189,55,5,9,1,236
Little Portugal (84),2020,160,1,16,130,22,7,6,1,158
Little Portugal (84),2021,163,0,16,122,34,4,7,2,158
Little Portugal (84),2022,166,0,15,142,11,8,11,0,160
Little Portugal (84),2023,213,1,25,137,52,5,18,1,209
Little Portugal (84),2024,207,0,23,126,59,8,7,1,204
Little Portugal (84),2025,199,0,23,117,59,5,12,0,194
Long Branch (19),2014,81,0,14,51,17,4,1,1,80
Long Branch (19),2015,115,0,30,67,22,5,6,3,115
Long Branch (19),2016,126,1,22,86,19,2,1,2,126
Long Branch (19),2017,153,1,23,99,38,8,3,2,152
Long Branch (19),2018,146,1,19,107,26,5,1,2,140
Long Branch (19),2019,145,0,20,111,23,5,3,1,145
Long Branch (19),2020,110,0,14,84,16,4,4,0,110
Long Branch (19),2021,92,1,14,70,17,2,4,1,92
Long Branch (19),2022,138,0,20,108,11,5,3,4,135
Long Branch (19),2023,138,0,14,91,33,2,3,0,137
Long Branch (19),2024,158,0,35,89,34,10,6,1,155
Long Branch (19),2025,133,0,24,77,32,6,7,2,128
Malvern East (146),2014,460,1,67,315,80,19,8,4,458
Malvern East (146),2015,458,0,76,301,92,12,5,5,456
Malvern East (146),2016,509,0,88,345,85,12,2,2,506
Malvern East (146),2017,504,1,101,331,86,11,3,1,501
Malvern East (146),2018,469,1,87,304,98,21,3,3,462
Malvern East (146),2019,533,0,98,352,98,19,3,2,520
Malvern East (146),2020,304,0,44,233,38,6,0,0,304
Malvern East (146),2021,303,0,60,211,40,11,5,1,303
Malvern East (146),2022,369,0,60,284,45,9,1,0,367
Malvern East (146),2023,315,0,34,211,85,8,4,3,308
Malvern East (146),2024,333,1,50,194,93,6,6,0,331
Malvern East (146),2025,361,1,56,220,85,8,5,0,359
Malvern West (145),2014,353,1,64,237,52,14,2,1,351
Malvern West (145),2015,343,1,65,222,63,11,3,0,342
Malvern West (145),2016,360,0,85,212,72,12,8,2,359
Malvern West (145),2017,397,0,82,261,65,7,2,2,396
Malvern West (145),2018,399,0,73,258,80,11,1,0,393
Malvern West (145),2019,490,0,90,329,86,8,0,1,484
Malvern West (145),2020,251,2,39,171,41,4,2,2,249
Malvern West (145),2021,223,0,42,154,32,7,1,1,221
Malvern West (145),2022,277,0,40,222,23,9,1,0,277
Malvern West (145),2023,314,1,46,204,69,9,2,0,311
Malvern West (145),2024,332,1,51,204,79,14,1,3,328
Malvern West (145),2025,372,1,46,243,87,9,3,3,368
Maple Leaf (29),2014,138,0,27,97,16,3,2,0,137
Maple Leaf (29),2015,122,1,21,82,18,4,1,1,122
Maple Leaf (29),2016,162,0,38,102,26,6,3,1,161
Maple Leaf (29),2017,132,0,33,85,19,4,2,0,132
Maple Leaf (29),2018,155,0,30,97,33,4,1,0,149
Maple Leaf (29),2019,147,0,17,118,24,5,1,0,144
Maple Leaf (29),2020,93,0,9,75,13,2,2,1,92
Maple Leaf (29),2021,95,0,14,72,11,4,2,0,95
Maple Leaf (29),2022,121,0,16,100,5,3,3,0,120
Maple Leaf (29),2023,147,0,28,102,19,6,2,0,147
Maple Leaf (29),2024,120,0,23,64,34,4,2,0,118
Maple Leaf (29),2025,138,1,19,95,23,3,2,0,136
Markland Wood (12),2014,122,0,21,87,17,2,1,0,122
Markland Wood (12),2015,108,0,16,79,18,4,0,0,107
Markland Wood (12),2016,132,0,29,85,26,4,3,1,131
Markland Wood (12),2017,116,0,19,84,18,5,0,1,115
Markland Wood (12),2018,122,0,30,80,18,6,0,1,121
Markland Wood (12),2019,122,0,17,93,21,3,1,0,121
Markland Wood (12),2020,60,1,10,44,9,1,1,1,60
Markland Wood (12),2021,61,0,10,49,5,0,1,1,60
Markland Wood (12),2022,113,0,12,93,9,3,3,1,111
Markland Wood (12),2023,115,0,14,78,23,5,2,0,115
Markland Wood (12),2024,111,0,30,62,19,5,3,1,111
Markland Wood (12),2025,96,0,16,70,10,3,0,0,96
Milliken (130),2014,909,0,124,631,156,21,13,6,903
