EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20191873716,9/29/2019 4:00:00 AM,Dorset Park (126),NA,NA,0,3,Shooting,NA
GO-20191873981,9/29/2019 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,0,1,Shooting,NA
GO-20191879812,9/30/2019 4:00:00 AM,South Riverdale (70),NA,NA,0,0,Firearm Discharge,NA
GO-20191886908,9/30/2019 4:00:00 AM,East L'Amoreaux (148),NA,NA,0,1,Shooting,NA
GO-20191880075,9/30/2019 4:00:00 AM,Wexford/Maryvale (119),NA,NA,0,1,Shooting,NA
GO-20191894014,10/1/2019 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,2,0,Shooting,NA
GO-20191893867,10/1/2019 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,0,Firearm Discharge,NA
GO-20191894043,10/1/2019 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,0,Firearm Discharge,NA
GO-20191892624,10/1/2019 4:00:00 AM,Etobicoke City Centre (159),NA,NA,0,0,Firearm Discharge,NA
GO-20191893633,10/1/2019 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,1,Shooting,NA
GO-20191894862,10/2/2019 4:00:00 AM,Junction Area (90),NA,NA,0,0,Firearm Discharge,NA
GO-20191901945,10/2/2019 4:00:00 AM,Greenwood-Coxwell (65),NA,NA,0,0,Firearm Discharge,NA
GO-20191901607,10/2/2019 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,0,1,Shooting,NA
GO-20191909325,10/3/2019 4:00:00 AM,Regent Park (72),NA,NA,0,0,Firearm Discharge,NA
GO-20191910116,10/4/2019 4:00:00 AM,Briar Hill-Belgravia (108),NA,NA,0,0,Firearm Discharge,NA
GO-20191922193,10/5/2019 4:00:00 AM,Junction-Wallace Emerson (171),NA,NA,0,1,Shooting,NA
GO-20191921882,10/5/2019 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,0,1,Shooting,NA
GO-20191928350,10/6/2019 4:00:00 AM,Pelmo Park-Humberlea (23),NA,NA,0,1,Shooting,NA
GO-20191924112,10/6/2019 4:00:00 AM,Golfdale-Cedarbrae-Woburn (141),NA,NA,0,0,Firearm Discharge,NA
GO-20191936589,10/6/2019 4:00:00 AM,Morningside Heights (144),NA,NA,0,0,Firearm Discharge,NA
GO-20191924529,10/6/2019 4:00:00 AM,Victoria Village (43),NA,NA,0,0,Firearm Discharge,NA
GO-20191926274,10/6/2019 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,0,Firearm Discharge,NA
GO-20191944887,10/8/2019 4:00:00 AM,East L'Amoreaux (148),NA,NA,0,0,Firearm Discharge,NA
GO-20191960193,10/10/2019 4:00:00 AM,Regent Park (72),NA,NA,0,1,Shooting,NA
GO-20191960824,10/10/2019 4:00:00 AM,Bendale-Glen Andrew (156),NA,NA,0,1,Shooting,NA
GO-20191953962,10/10/2019 4:00:00 AM,O'Connor-Parkview (54),NA,NA,0,0,Firearm Discharge,NA
GO-20191968109,10/11/2019 4:00:00 AM,Yorkdale-Glen Park (31),NA,NA,0,2,Shooting,NA
GO-20191973829,10/12/2019 4:00:00 AM,Golfdale-Cedarbrae-Woburn (141),NA,NA,0,1,Shooting,NA
GO-20191975410,10/13/2019 4:00:00 AM,Oakwood Village (107),NA,NA,0,2,Shooting,NA
GO-20191975575,10/13/2019 4:00:00 AM,Kensington-Chinatown (78),NA,NA,0,1,Shooting,NA
GO-20191981086,10/14/2019 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,1,0,Shooting,NA
GO-20191987240,10/15/2019 4:00:00 AM,Kensington-Chinatown (78),NA,NA,0,1,Shooting,NA
GO-20192000634,10/16/2019 4:00:00 AM,Bedford Park-Nortown (39),NA,NA,0,0,Firearm Discharge,NA
GO-20192000921,10/17/2019 4:00:00 AM,Thorncliffe Park (55),NA,NA,0,0,Firearm Discharge,NA
GO-20192006688,10/17/2019 4:00:00 AM,Hillcrest Village (48),NA,NA,1,0,Shooting,NA
