EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141276157,1/3/2014 5:00:00 AM,East L'Amoreaux (148),Break and Enter,B&E,NA,NA,NA,NA
GO-20141273151,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141271424,1/3/2014 5:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272919,1/3/2014 5:00:00 AM,East End-Danforth (62),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20142,1/2/2014 5:00:00 AM,Parkwoods-O'Connor Hills (149),Break and Enter,B&E,NA,NA,NA,NA
GO-20141217261,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141276547,1/3/2014 5:00:00 AM,Forest Hill North (102),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275796,1/3/2014 5:00:00 AM,Centennial Scarborough (133),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275533,12/18/2013 5:00:00 AM,Fort York-Liberty Village (163),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275653,1/3/2014 5:00:00 AM,East L'Amoreaux (148),Break and Enter,B&E,NA,NA,NA,NA
GO-2014946295,1/3/2014 5:00:00 AM,Roncesvalles (86),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141268130,1/3/2014 5:00:00 AM,Maple Leaf (29),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141282268,1/4/2014 5:00:00 AM,St.Andrew-Windfields (40),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141279637,12/25/2013 5:00:00 AM,Bedford Park-Nortown (39),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282232,1/4/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283384,1/4/2014 5:00:00 AM,Casa Loma (96),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280311,1/3/2014 5:00:00 AM,Newtonbrook East (50),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280897,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141280182,1/2/2014 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280834,1/4/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141280103,1/3/2014 5:00:00 AM,Forest Hill South (101),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278997,1/3/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278003,1/4/2014 5:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278444,1/4/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278917,1/3/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282457,1/4/2014 5:00:00 AM,East Willowdale (152),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275615,12/30/2013 5:00:00 AM,University (79),Break and Enter,B&E,NA,NA,NA,NA
GO-20141288085,1/5/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141284022,1/5/2014 5:00:00 AM,Briar Hill-Belgravia (108),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283662,1/5/2014 5:00:00 AM,West Hill (136),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
GO-20141285396,12/26/2013 5:00:00 AM,South Riverdale (70),Break and Enter,B&E,NA,NA,NA,NA
GO-20141288003,12/21/2013 5:00:00 AM,Wellington Place (164),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282428,1/4/2014 5:00:00 AM,Bridle Path-Sunnybrook-York Mills (41),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283746,1/5/2014 5:00:00 AM,Mimico-Queensway (160),Break and Enter,B&E,NA,NA,NA,NA
GO-20141284542,1/5/2014 5:00:00 AM,Moss Park (73),Break and Enter,B&E,NA,NA,NA,NA
GO-20141291159,1/6/2014 5:00:00 AM,Don Valley Village (47),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293524,1/6/2014 5:00:00 AM,Bendale-Glen Andrew (156),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293824,1/6/2014 5:00:00 AM,Victoria Village (43),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141290610,1/5/2014 5:00:00 AM,Morningside Heights (144),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293908,1/6/2014 5:00:00 AM,Bridle Path-Sunnybrook-York Mills (41),Break and Enter,B&E,NA,NA,NA,NA
GO-20141292479,1/6/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293758,1/6/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E,NA,NA,NA,NA
GO-20141294436,1/6/2014 5:00:00 AM,Moss Park (73),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141293197,12/28/2013 5:00:00 AM,East Willowdale (152),Break and Enter,B&E,NA,NA,NA,NA
GO-20141295114,1/6/2014 5:00:00 AM,Weston-Pelham Park (91),Break and Enter,B&E,NA,NA,NA,NA
GO-20141291352,12/31/2013 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141292177,12/31/2013 5:00:00 AM,West Humber-Clairville (1),Break and Enter,B&E,NA,NA,NA,NA
GO-20141294660,1/6/2014 5:00:00 AM,Long Branch (19),Break and Enter,B&E,NA,NA,NA,NA
GO-20141291615,9/12/2013 4:00:00 AM,Moss Park (73),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293358,1/6/2014 5:00:00 AM,Kingsway South (15),Break and Enter,B&E,NA,NA,NA,NA
GO-20141291944,12/19/2013 5:00:00 AM,Ionview (125),Break and Enter,B&E,NA,NA,NA,NA
GO-20141292564,1/6/2014 5:00:00 AM,Tam O'Shanter-Sullivan (118),Break and Enter,B&E,NA,NA,NA,NA
GO-20141289835,1/6/2014 5:00:00 AM,Victoria Village (43),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141292429,1/6/2014 5:00:00 AM,New Toronto (18),Break and Enter,B&E,NA,NA,NA,NA
GO-20141292111,1/6/2014 5:00:00 AM,Flemingdon Park (44),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141293642,12/30/2013 5:00:00 AM,Junction-Wallace Emerson (171),Break and Enter,B&E,NA,NA,NA,NA
GO-2014129997,1/6/2014 5:00:00 AM,High Park-Swansea (87),Break and Enter,B&E,NA,NA,NA,NA
GO-20141295578,1/7/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141296030,1/7/2014 5:00:00 AM,Newtonbrook East (50),Break and Enter,B&E,NA,NA,NA,NA
GO-20141295855,1/7/2014 5:00:00 AM,Alderwood (20),Break and Enter,B&E,NA,NA,NA,NA
GO-20141295822,1/7/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141296032,1/7/2014 5:00:00 AM,Agincourt South-Malvern West (128),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297499,1/7/2014 5:00:00 AM,Newtonbrook East (50),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297996,1/7/2014 5:00:00 AM,Wexford/Maryvale (119),Break and Enter,B&E,NA,NA,NA,NA
GO-20141300854,1/7/2014 5:00:00 AM,University (79),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297630,9/26/2013 4:00:00 AM,Kensington-Chinatown (78),Break and Enter,B&E,NA,NA,NA,NA
GO-20141300518,1/6/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Break and Enter,B&E,NA,NA,NA,NA
GO-20141298218,1/7/2014 5:00:00 AM,York University Heights (27),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141299982,1/7/2014 5:00:00 AM,Caledonia-Fairbank (109),Break and Enter,B&E,NA,NA,NA,NA
GO-20141300512,1/6/2014 5:00:00 AM,Princess-Rosethorn (10),Break and Enter,B&E,NA,NA,NA,NA
GO-20141300368,1/7/2014 5:00:00 AM,Clanton Park (33),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141301035,1/7/2014 5:00:00 AM,Guildwood (140),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141297691,1/6/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141299897,1/7/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297201,1/3/2014 5:00:00 AM,West Humber-Clairville (1),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297455,1/3/2014 5:00:00 AM,Woodbine-Lumsden (60),Break and Enter,B&E,NA,NA,NA,NA
GO-20141297405,1/6/2014 5:00:00 AM,Church-Wellesley (167),Break and Enter,B&E,NA,NA,NA,NA
GO-20141295113,1/6/2014 5:00:00 AM,Oakridge (121),Break and Enter,B&E,NA,NA,NA,NA
GO-20141294346,1/6/2014 5:00:00 AM,Cliffcrest (123),Break and Enter,B&E,NA,NA,NA,NA
GO-20141301180,1/7/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Break and Enter,B&E,NA,NA,NA,NA
GO-20141299688,1/7/2014 5:00:00 AM,Woburn North (142),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
GO-20141299997,1/7/2014 5:00:00 AM,High Park-Swansea (87),Break and Enter,B&E,NA,NA,NA,NA
GO-20141296470,1/7/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141302876,1/8/2014 5:00:00 AM,Malvern West (145),Break and Enter,B&E,NA,NA,NA,NA
GO-20141302468,1/7/2014 5:00:00 AM,Morningside Heights (144),Break and Enter,B&E,NA,NA,NA,NA
GO-20141306531,1/8/2014 5:00:00 AM,Steeles (116),Break and Enter,B&E,NA,NA,NA,NA
GO-20141305610,1/8/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141305465,1/8/2014 5:00:00 AM,Steeles (116),Break and Enter,B&E,NA,NA,NA,NA
GO-20141305319,12/20/2013 5:00:00 AM,Markland Wood (12),Break and Enter,B&E,NA,NA,NA,NA
GO-20141301947,1/8/2014 5:00:00 AM,Morningside Heights (144),Break and Enter,B&E,NA,NA,NA,NA
GO-20141303975,1/5/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304725,1/8/2014 5:00:00 AM,Clairlea-Birchmount (120),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304629,1/4/2014 5:00:00 AM,Henry Farm (53),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304484,12/26/2013 5:00:00 AM,Eglinton East (138),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304375,1/8/2014 5:00:00 AM,West Rouge (143),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304312,1/8/2014 5:00:00 AM,West Humber-Clairville (1),Break and Enter,B&E,NA,NA,NA,NA
GO-20141306217,1/8/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141306851,1/8/2014 5:00:00 AM,Keelesdale-Eglinton West (110),Break and Enter,B&E,NA,NA,NA,NA
GO-20141306320,1/8/2014 5:00:00 AM,New Toronto (18),Break and Enter,B&E,NA,NA,NA,NA
GO-20141306349,1/8/2014 5:00:00 AM,Leaside-Bennington (56),Break and Enter,B&E,NA,NA,NA,NA
GO-20141305272,1/8/2014 5:00:00 AM,High Park-Swansea (87),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
GO-20141303880,1/7/2014 5:00:00 AM,Wellington Place (164),Break and Enter,B&E,NA,NA,NA,NA
GO-20141304072,1/7/2014 5:00:00 AM,South Riverdale (70),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141303376,1/7/2014 5:00:00 AM,Banbury-Don Mills (42),Break and Enter,B&E,NA,NA,NA,NA
GO-20141312805,1/3/2014 5:00:00 AM,Church-Wellesley (167),Break and Enter,B&E,NA,NA,NA,NA
GO-20141310106,1/9/2014 5:00:00 AM,Etobicoke City Centre (159),Break and Enter,B&E,NA,NA,NA,NA
GO-20141309408,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Break and Enter,B&E,NA,NA,NA,NA
GO-20141309775,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Break and Enter,B&E,NA,NA,NA,NA
GO-20141309854,1/9/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Break and Enter,B&E,NA,NA,NA,NA
GO-20141309085,12/27/2013 5:00:00 AM,Yorkdale-Glen Park (31),Break and Enter,B&E,NA,NA,NA,NA
GO-20141310624,12/28/2013 5:00:00 AM,Taylor-Massey (61),Break and Enter,B&E,NA,NA,NA,NA
GO-20141311063,1/9/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141309197,1/9/2014 5:00:00 AM,Bendale-Glen Andrew (156),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141311392,1/9/2014 5:00:00 AM,Greenwood-Coxwell (65),Break and Enter,B&E,NA,NA,NA,NA
GO-20141311488,1/9/2014 5:00:00 AM,Caledonia-Fairbank (109),Break and Enter,B&E,NA,NA,NA,NA
GO-20141310851,1/9/2014 5:00:00 AM,Fenside-Parkwoods (150),Break and Enter,B&E,NA,NA,NA,NA
GO-20141311878,1/9/2014 5:00:00 AM,Tam O'Shanter-Sullivan (118),Break and Enter,B&E,NA,NA,NA,NA
GO-20141313073,1/9/2014 5:00:00 AM,Humbermede (22),Break and Enter,B&E,NA,NA,NA,NA
GO-20141312856,1/9/2014 5:00:00 AM,Humbermede (22),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141307969,1/9/2014 5:00:00 AM,Rosedale-Moore Park (98),Break and Enter,B&E,NA,NA,NA,NA
GO-20141308107,1/9/2014 5:00:00 AM,Wellington Place (164),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141308009,1/9/2014 5:00:00 AM,Leaside-Bennington (56),Break and Enter,B&E,NA,NA,NA,NA
GO-20141311005,1/1/2014 5:00:00 AM,East Willowdale (152),Break and Enter,B&E,NA,NA,NA,NA
GO-20141312886,1/7/2014 5:00:00 AM,Newtonbrook West (36),Break and Enter,B&E,NA,NA,NA,NA
GO-20141309970,12/21/2013 5:00:00 AM,Tam O'Shanter-Sullivan (118),Break and Enter,B&E,NA,NA,NA,NA
GO-20141318070,1/10/2014 5:00:00 AM,Danforth East York (59),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141318761,1/10/2014 5:00:00 AM,Flemingdon Park (44),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141320118,1/10/2014 5:00:00 AM,Flemingdon Park (44),Break and Enter,B&E,NA,NA,NA,NA
GO-20141316521,1/10/2014 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),Break and Enter,B&E,NA,NA,NA,NA
GO-20141315911,1/3/2014 5:00:00 AM,York University Heights (27),Break and Enter,B&E,NA,NA,NA,NA
GO-20141317102,1/7/2014 5:00:00 AM,Yorkdale-Glen Park (31),Break and Enter,B&E,NA,NA,NA,NA
GO-20141318209,1/10/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141317016,7/14/2013 4:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141319738,12/28/2013 5:00:00 AM,East Willowdale (152),Break and Enter,B&E,NA,NA,NA,NA
GO-20141315349,1/9/2014 5:00:00 AM,NSA,Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141317622,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Break and Enter,B&E,NA,NA,NA,NA
GO-20141314633,1/10/2014 5:00:00 AM,O'Connor-Parkview (54),Break and Enter,B&E,NA,NA,NA,NA
GO-20141314245,1/10/2014 5:00:00 AM,East End-Danforth (62),Break and Enter,B&E,NA,NA,NA,NA
GO-20141314820,1/10/2014 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141315374,1/10/2014 5:00:00 AM,Agincourt South-Malvern West (128),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141317065,1/10/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Break and Enter,B&E,NA,NA,NA,NA
GO-20141317268,1/10/2014 5:00:00 AM,Agincourt North (129),Break and Enter,B&E,NA,NA,NA,NA
GO-20141319035,1/10/2014 5:00:00 AM,West Humber-Clairville (1),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322089,1/11/2014 5:00:00 AM,Downsview (155),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322810,1/11/2014 5:00:00 AM,Church-Wellesley (167),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322679,1/11/2014 5:00:00 AM,Church-Wellesley (167),Break and Enter,B&E,NA,NA,NA,NA
GO-20141324515,12/24/2013 5:00:00 AM,NSA,Break and Enter,B&E,NA,NA,NA,NA
GO-20141326666,1/11/2014 5:00:00 AM,Kensington-Chinatown (78),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141326933,1/11/2014 5:00:00 AM,Golfdale-Cedarbrae-Woburn (141),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322542,1/10/2014 5:00:00 AM,Flemingdon Park (44),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322784,1/10/2014 5:00:00 AM,Forest Hill South (101),Break and Enter,B&E,NA,NA,NA,NA
GO-20141325714,1/10/2014 5:00:00 AM,South Riverdale (70),Break and Enter,B&E,NA,NA,NA,NA
GO-20141325016,1/10/2014 5:00:00 AM,Moss Park (73),Break and Enter,B&E,NA,NA,NA,NA
GO-20141321194,1/11/2014 5:00:00 AM,University (79),Break and Enter,B&E,NA,NA,NA,NA
GO-20141321585,1/11/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322146,1/11/2014 5:00:00 AM,Trinity-Bellwoods (81),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141322396,1/11/2014 5:00:00 AM,Milliken (130),Break and Enter,B&E,NA,NA,NA,NA
GO-20141322655,1/11/2014 5:00:00 AM,Scarborough Village (139),Break and Enter,B&E,NA,NA,NA,NA
GO-20141325176,1/11/2014 5:00:00 AM,Kennedy Park (124),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
