EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141300293,1/7/2014 5:00:00 AM,Humber Heights-Westmount (8),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141299510,1/7/2014 5:00:00 AM,Bendale-Glen Andrew (156),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141307151,1/8/2014 5:00:00 AM,Englemount-Lawrence (32),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141305624,1/4/2014 5:00:00 AM,Stonegate-Queensway (16),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141303385,1/8/2014 5:00:00 AM,Newtonbrook East (50),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141307425,1/8/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141305026,1/8/2014 5:00:00 AM,Highland Creek (134),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141304684,1/8/2014 5:00:00 AM,Church-Wellesley (167),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141304385,1/8/2014 5:00:00 AM,Willowridge-Martingrove-Richview (7),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141307180,1/8/2014 5:00:00 AM,East L'Amoreaux (148),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141303582,1/8/2014 5:00:00 AM,Regent Park (72),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141303582,1/8/2014 5:00:00 AM,Regent Park (72),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141303582,1/8/2014 5:00:00 AM,Regent Park (72),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141304385,1/8/2014 5:00:00 AM,Willowridge-Martingrove-Richview (7),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141304385,1/8/2014 5:00:00 AM,Willowridge-Martingrove-Richview (7),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141307180,1/8/2014 5:00:00 AM,East L'Amoreaux (148),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141307180,1/8/2014 5:00:00 AM,East L'Amoreaux (148),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141311284,1/9/2014 5:00:00 AM,Kennedy Park (124),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141312522,1/8/2014 5:00:00 AM,Downsview (155),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141313381,1/9/2014 5:00:00 AM,Hillcrest Village (48),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141313380,1/9/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141313420,1/9/2014 5:00:00 AM,West Hill (136),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141310659,1/8/2014 5:00:00 AM,Downsview (155),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141308205,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Robbery,Robbery - Vehicle Jacking,NA,NA,NA,NA
GO-20141308205,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Robbery,Robbery - Vehicle Jacking,NA,NA,NA,NA
GO-20141319989,1/10/2014 5:00:00 AM,The Beaches (63),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141320266,1/10/2014 5:00:00 AM,South Parkdale (85),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141319671,1/10/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141320067,1/10/2014 5:00:00 AM,Greenwood-Coxwell (65),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141319671,1/10/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141314209,1/10/2014 5:00:00 AM,York University Heights (27),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141317652,1/10/2014 5:00:00 AM,Etobicoke City Centre (159),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141318222,1/10/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141318985,1/10/2014 5:00:00 AM,Eglinton East (138),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141323954,1/11/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141326467,1/11/2014 5:00:00 AM,Pleasant View (46),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141324187,1/10/2014 5:00:00 AM,Leaside-Bennington (56),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141324187,1/10/2014 5:00:00 AM,Leaside-Bennington (56),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141320854,1/11/2014 5:00:00 AM,Yorkdale-Glen Park (31),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141321028,1/11/2014 5:00:00 AM,Kingsview Village-The Westway (6),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141321228,1/11/2014 5:00:00 AM,Black Creek (24),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141332558,1/12/2014 5:00:00 AM,L'Amoreaux West (147),Robbery,Robbery - Taxi,NA,NA,NA,NA
GO-20141330796,1/5/2013 5:00:00 AM,Moss Park (73),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141332202,1/12/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141331238,1/12/2014 5:00:00 AM,Junction-Wallace Emerson (171),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141327765,1/11/2014 5:00:00 AM,Milliken (130),Robbery,Robbery - Home Invasion,NA,NA,NA,NA
GO-20141331950,1/12/2014 5:00:00 AM,Milliken (130),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141327765,1/11/2014 5:00:00 AM,Milliken (130),Robbery,Robbery - Home Invasion,NA,NA,NA,NA
GO-20141338390,1/13/2014 5:00:00 AM,Church-Wellesley (167),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141337027,1/13/2014 5:00:00 AM,Dorset Park (126),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141335270,1/13/2014 5:00:00 AM,Downsview (155),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141338395,1/13/2014 5:00:00 AM,Caledonia-Fairbank (109),Robbery,Robbery With Weapon,NA,NA,NA,NA
