iter	Logloss
0	0.690903712
1	0.6886755299
2	0.6866375989
3	0.6844503312
4	0.6826692557
5	0.6809523031
6	0.6792879135
7	0.6776198883
8	0.6759377733
9	0.6742536516
10	0.672710912
11	0.6709058673
12	0.6693118802
13	0.667664888
14	0.6661274595
15	0.6646337299
16	0.6631514213
17	0.661845585
18	0.6605922807
19	0.6594427931
20	0.6581917814
21	0.656926507
22	0.6557585838
23	0.6546537647
24	0.6535509919
25	0.6522763098
26	0.6512297073
27	0.6503129841
28	0.6494642816
29	0.6485457268
30	0.6475692354
31	0.6466705867
32	0.6456983157
33	0.6446654049
34	0.6438108513
35	0.6429117731
36	0.6420480802
37	0.6412194705
38	0.6404126246
39	0.6395965474
40	0.6389002903
41	0.6381387587
42	0.6373616579
43	0.636562162
44	0.6359686439
45	0.6352265929
46	0.634608375
47	0.6340901155
48	0.6334002946
49	0.6327397081
50	0.6321421534
51	0.6315362528
52	0.6309211345
53	0.6303986544
54	0.6298820293
55	0.6292777666
56	0.62879979
57	0.6283358239
58	0.6278447517
59	0.6273610396
60	0.6269097001
61	0.6263123061
62	0.6258527799
63	0.6253131089
64	0.6249156155
65	0.6245479971
66	0.6240897202
67	0.6236127508
68	0.6231549787
69	0.6227247538
70	0.6223666005
71	0.6219969857
72	0.6216143269
73	0.621282442
74	0.6208524424
75	0.6204624093
76	0.6200725042
77	0.6197038401
78	0.6193843051
79	0.6190368837
80	0.6187394484
81	0.6184383574
82	0.6181638198
83	0.6179125909
84	0.6175843996
85	0.6172851967
86	0.6169470908
87	0.6167317746
88	0.616481276
89	0.6161635076
90	0.6159343885
91	0.6156963884
92	0.6154166092
93	0.6151919062
94	0.6149698846
95	0.6147488626
96	0.6145225107
97	0.6143499991
98	0.614076351
99	0.6137785613
100	0.6135200616
101	0.613342199
102	0.6131082134
103	0.6129368436
104	0.6127614435
105	0.6125190733
106	0.6123826084
107	0.6121602086
108	0.6119997915
109	0.611808064
110	0.6116586259
111	0.6115139514
112	0.6113550605
113	0.6112285376
114	0.6111144326
115	0.6109702279
116	0.6108064113
117	0.6106659403
118	0.6104886281
119	0.6103638561
120	0.6102473252
121	0.6100460535
122	0.6098730117
123	0.609705485
124	0.6095633907
125	0.6094470684
126	0.6093376464
127	0.609222671
128	0.6090885442
129	0.608959404
130	0.6088145958
131	0.6086902224
132	0.6085285786
133	0.6084276558
134	0.6083285625
135	0.6082020358
136	0.6080929708
137	0.6080113741
138	0.6078970604
139	0.607805059
140	0.6077033591
141	0.6076300268
142	0.6075045464
143	0.6074167904
144	0.6072915182
145	0.6071857447
146	0.6070505032
147	0.606964942
148	0.606866635
149	0.6067828251
150	0.6066843288
151	0.6065770707
152	0.6064967347
153	0.6064173297
154	0.6063575704
155	0.6062978966
156	0.6061955183
157	0.606127012
158	0.606054286
159	0.60598928
160	0.6058976147
161	0.6058105906
162	0.6057306866
163	0.60562452
164	0.6055786815
165	0.6055113486
166	0.6054503017
167	0.6053924274
168	0.605341603
169	0.605259373
170	0.6052186968
171	0.6051560482
172	0.6051243372
173	0.6050167272
174	0.6049595169
175	0.6048812075
176	0.6048058001
177	0.6047594389
178	0.6046852535
179	0.6046029878
180	0.6045680635
181	0.60449565
182	0.604444146
183	0.6043967501
184	0.6043369827
185	0.6042877908
186	0.6042164383
187	0.6041445831
188	0.604090416
189	0.6040398269
190	0.6040034876
191	0.6039716507
192	0.6039116667
193	0.6038499656
194	0.6037983087
195	0.603735008
196	0.603666955
197	0.603599473
198	0.6035578154
199	0.6035215685
200	0.6034883025
201	0.6034086781
202	0.6033691933
203	0.6033336552
204	0.6032836389
205	0.6032385688
206	0.6031831425
207	0.6031605327
208	0.6031371538
209	0.6031135225
210	0.6030515177
211	0.6029968448
212	0.6029574442
213	0.6029254702
214	0.6029008211
215	0.6028637187
216	0.6028315915
217	0.6028197991
218	0.6027842264
219	0.6027550132
220	0.6027034114
221	0.602651441
222	0.6026137613
223	0.6025889814
224	0.6025445306
225	0.6025122573
226	0.6024567714
227	0.6024242115
228	0.6023932963
229	0.6023613646
230	0.6023429361
231	0.6023253946
232	0.6022952799
233	0.6022735285
234	0.6022542049
235	0.6022369009
236	0.6022062831
237	0.6021600773
238	0.6021441619
239	0.6021021904
240	0.602075539
241	0.6020465572
242	0.6020067855
243	0.6019911795
244	0.6019658337
245	0.6019321598
246	0.6018960462
