Neighbourhood,Crime Category,Incident Count
Runnymede-Bloor West Village (89),Assault,465
Runnymede-Bloor West Village (89),Auto Theft,259
Runnymede-Bloor West Village (89),Break and Enter,271
Runnymede-Bloor West Village (89),NonMCI,267
Runnymede-Bloor West Village (89),Robbery,140
Runnymede-Bloor West Village (89),Theft Over,32
Rustic (28),Assault,870
Rustic (28),Auto Theft,246
Rustic (28),Break and Enter,164
Rustic (28),NonMCI,269
Rustic (28),Robbery,94
Rustic (28),Theft Over,25
Scarborough Village (139),Assault,1733
Scarborough Village (139),Auto Theft,330
Scarborough Village (139),Break and Enter,428
Scarborough Village (139),NonMCI,635
Scarborough Village (139),Robbery,233
Scarborough Village (139),Theft Over,54
South Eglinton-Davisville (174),Assault,967
South Eglinton-Davisville (174),Auto Theft,126
South Eglinton-Davisville (174),Break and Enter,521
South Eglinton-Davisville (174),NonMCI,287
South Eglinton-Davisville (174),Robbery,95
South Eglinton-Davisville (174),Theft Over,51
South Parkdale (85),Assault,2749
South Parkdale (85),Auto Theft,272
South Parkdale (85),Break and Enter,775
South Parkdale (85),NonMCI,588
South Parkdale (85),Robbery,242
South Parkdale (85),Theft Over,133
South Riverdale (70),Assault,2725
South Riverdale (70),Auto Theft,547
South Riverdale (70),Break and Enter,1304
South Riverdale (70),NonMCI,1541
South Riverdale (70),Robbery,394
South Riverdale (70),Theft Over,273
St Lawrence-East Bayfront-The Islands (166),Assault,3446
St Lawrence-East Bayfront-The Islands (166),Auto Theft,262
St Lawrence-East Bayfront-The Islands (166),Break and Enter,1063
St Lawrence-East Bayfront-The Islands (166),NonMCI,1117
St Lawrence-East Bayfront-The Islands (166),Robbery,332
St Lawrence-East Bayfront-The Islands (166),Theft Over,278
St.Andrew-Windfields (40),Assault,713
St.Andrew-Windfields (40),Auto Theft,514
St.Andrew-Windfields (40),Break and Enter,860
St.Andrew-Windfields (40),NonMCI,506
St.Andrew-Windfields (40),Robbery,114
St.Andrew-Windfields (40),Theft Over,112
Steeles (116),Assault,480
Steeles (116),Auto Theft,371
Steeles (116),Break and Enter,515
Steeles (116),NonMCI,332
Steeles (116),Robbery,90
Steeles (116),Theft Over,40
Stonegate-Queensway (16),Assault,1109
Stonegate-Queensway (16),Auto Theft,675
Stonegate-Queensway (16),Break and Enter,676
Stonegate-Queensway (16),NonMCI,805
Stonegate-Queensway (16),Robbery,158
Stonegate-Queensway (16),Theft Over,103
Tam O'Shanter-Sullivan (118),Assault,1289
Tam O'Shanter-Sullivan (118),Auto Theft,494
Tam O'Shanter-Sullivan (118),Break and Enter,608
Tam O'Shanter-Sullivan (118),NonMCI,760
Tam O'Shanter-Sullivan (118),Robbery,243
Tam O'Shanter-Sullivan (118),Theft Over,69
Taylor-Massey (61),Assault,1291
Taylor-Massey (61),Auto Theft,166
Taylor-Massey (61),Break and Enter,410
Taylor-Massey (61),NonMCI,484
Taylor-Massey (61),Robbery,214
Taylor-Massey (61),Theft Over,54
The Beaches (63),Assault,1141
The Beaches (63),Auto Theft,348
The Beaches (63),Break and Enter,550
The Beaches (63),NonMCI,719
The Beaches (63),Robbery,151
The Beaches (63),Theft Over,95
Thistletown-Beaumond Heights (3),Assault,683
Thistletown-Beaumond Heights (3),Auto Theft,395
Thistletown-Beaumond Heights (3),Break and Enter,206
Thistletown-Beaumond Heights (3),NonMCI,427
Thistletown-Beaumond Heights (3),Robbery,151
Thistletown-Beaumond Heights (3),Theft Over,45
Thorncliffe Park (55),Assault,1229
Thorncliffe Park (55),Auto Theft,310
Thorncliffe Park (55),Break and Enter,405
Thorncliffe Park (55),NonMCI,405
Thorncliffe Park (55),Robbery,133
Thorncliffe Park (55),Theft Over,86
Trinity-Bellwoods (81),Assault,1452
Trinity-Bellwoods (81),Auto Theft,237
Trinity-Bellwoods (81),Break and Enter,824
Trinity-Bellwoods (81),NonMCI,634
Trinity-Bellwoods (81),Robbery,187
Trinity-Bellwoods (81),Theft Over,97
University (79),Assault,1399
University (79),Auto Theft,131
University (79),Break and Enter,710
University (79),NonMCI,678
University (79),Robbery,214
University (79),Theft Over,107
Victoria Village (43),Assault,1252
Victoria Village (43),Auto Theft,337
Victoria Village (43),Break and Enter,421
Victoria Village (43),NonMCI,483
Victoria Village (43),Robbery,115
Victoria Village (43),Theft Over,69
Wellington Place (164),Assault,4541
Wellington Place (164),Auto Theft,462
Wellington Place (164),Break and Enter,1542
Wellington Place (164),NonMCI,1209
Wellington Place (164),Robbery,402
Wellington Place (164),Theft Over,286
West Hill (136),Assault,4301
West Hill (136),Auto Theft,517
West Hill (136),Break and Enter,848
West Hill (136),NonMCI,1184
West Hill (136),Robbery,581
West Hill (136),Theft Over,123
West Humber-Clairville (1),Assault,3275
West Humber-Clairville (1),Auto Theft,5262
West Humber-Clairville (1),Break and Enter,1667
West Humber-Clairville (1),NonMCI,3623
West Humber-Clairville (1),Robbery,789
West Humber-Clairville (1),Theft Over,727
West Queen West (162),Assault,1222
West Queen West (162),Auto Theft,137
West Queen West (162),Break and Enter,502
West Queen West (162),NonMCI,574
West Queen West (162),Robbery,99
West Queen West (162),Theft Over,64
West Rouge (143),Assault,811
West Rouge (143),Auto Theft,461
West Rouge (143),Break and Enter,330
West Rouge (143),NonMCI,551
West Rouge (143),Robbery,152
West Rouge (143),Theft Over,51
Westminster-Branson (35),Assault,1164
Westminster-Branson (35),Auto Theft,516
Westminster-Branson (35),Break and Enter,403
Westminster-Branson (35),NonMCI,722
Westminster-Branson (35),Robbery,115
Westminster-Branson (35),Theft Over,75
Weston-Pelham Park (91),Assault,1109
Weston-Pelham Park (91),Auto Theft,205
Weston-Pelham Park (91),Break and Enter,276
Weston-Pelham Park (91),NonMCI,298
Weston-Pelham Park (91),Robbery,101
Weston-Pelham Park (91),Theft Over,39
Weston (113),Assault,2215
Weston (113),Auto Theft,696
Weston (113),Break and Enter,560
Weston (113),NonMCI,850
Weston (113),Robbery,366
Weston (113),Theft Over,70
Wexford/Maryvale (119),Assault,2665
Wexford/Maryvale (119),Auto Theft,1136
Wexford/Maryvale (119),Break and Enter,1011
Wexford/Maryvale (119),NonMCI,1416
Wexford/Maryvale (119),Robbery,365
Wexford/Maryvale (119),Theft Over,201
Willowdale West (37),Assault,1047
Willowdale West (37),Auto Theft,288
Willowdale West (37),Break and Enter,316
Willowdale West (37),NonMCI,484
Willowdale West (37),Robbery,168
Willowdale West (37),Theft Over,88
Willowridge-Martingrove-Richview (7),Assault,1017
Willowridge-Martingrove-Richview (7),Auto Theft,729
Willowridge-Martingrove-Richview (7),Break and Enter,433
Willowridge-Martingrove-Richview (7),NonMCI,690
Willowridge-Martingrove-Richview (7),Robbery,202
Willowridge-Martingrove-Richview (7),Theft Over,68
Woburn North (142),Assault,2086
Woburn North (142),Auto Theft,589
Woburn North (142),Break and Enter,565
Woburn North (142),NonMCI,907
Woburn North (142),Robbery,318
Woburn North (142),Theft Over,123
Woodbine-Lumsden (60),Assault,453
Woodbine-Lumsden (60),Auto Theft,91
Woodbine-Lumsden (60),Break and Enter,160
Woodbine-Lumsden (60),NonMCI,337
Woodbine-Lumsden (60),Robbery,42
Woodbine-Lumsden (60),Theft Over,30
Woodbine Corridor (64),Assault,976
Woodbine Corridor (64),Auto Theft,147
Woodbine Corridor (64),Break and Enter,346
Woodbine Corridor (64),NonMCI,463
Woodbine Corridor (64),Robbery,107
Woodbine Corridor (64),Theft Over,46
Wychwood (94),Assault,859
Wychwood (94),Auto Theft,222
Wychwood (94),Break and Enter,424
Wychwood (94),NonMCI,303
Wychwood (94),Robbery,133
Wychwood (94),Theft Over,39
Yonge-Bay Corridor (170),Assault,5310
Yonge-Bay Corridor (170),Auto Theft,291
Yonge-Bay Corridor (170),Break and Enter,1256
Yonge-Bay Corridor (170),NonMCI,1135
Yonge-Bay Corridor (170),Robbery,669
Yonge-Bay Corridor (170),Theft Over,483
Yonge-Doris (151),Assault,904
Yonge-Doris (151),Auto Theft,260
Yonge-Doris (151),Break and Enter,178
Yonge-Doris (151),NonMCI,580
Yonge-Doris (151),Robbery,179
Yonge-Doris (151),Theft Over,121
Yonge-Eglinton (100),Assault,942
Yonge-Eglinton (100),Auto Theft,187
Yonge-Eglinton (100),Break and Enter,355
Yonge-Eglinton (100),NonMCI,262
Yonge-Eglinton (100),Robbery,124
Yonge-Eglinton (100),Theft Over,95
Yonge-St.Clair (97),Assault,391
Yonge-St.Clair (97),Auto Theft,134
Yonge-St.Clair (97),Break and Enter,350
Yonge-St.Clair (97),NonMCI,183
Yonge-St.Clair (97),Robbery,34
Yonge-St.Clair (97),Theft Over,43
York University Heights (27),Assault,3948
York University Heights (27),Auto Theft,1759
York University Heights (27),Break and Enter,1505
York University Heights (27),NonMCI,1915
York University Heights (27),Robbery,697
York University Heights (27),Theft Over,494
Yorkdale-Glen Park (31),Assault,1942
Yorkdale-Glen Park (31),Auto Theft,1037
Yorkdale-Glen Park (31),Break and Enter,870
Yorkdale-Glen Park (31),NonMCI,1089
Yorkdale-Glen Park (31),Robbery,384
Yorkdale-Glen Park (31),Theft Over,370
