Neighbourhood,Crime Category,Incident Count
Caledonia-Fairbank (109),Theft Over,25
Casa Loma (96),Assault,560
Casa Loma (96),Auto Theft,167
Casa Loma (96),Break and Enter,387
Casa Loma (96),NonMCI,237
Casa Loma (96),Robbery,69
Casa Loma (96),Theft Over,58
Centennial Scarborough (133),Assault,489
Centennial Scarborough (133),Auto Theft,196
Centennial Scarborough (133),Break and Enter,208
Centennial Scarborough (133),NonMCI,407
Centennial Scarborough (133),Robbery,60
Centennial Scarborough (133),Theft Over,31
Church-Wellesley (167),Assault,3589
Church-Wellesley (167),Auto Theft,221
Church-Wellesley (167),Break and Enter,929
Church-Wellesley (167),NonMCI,786
Church-Wellesley (167),Robbery,506
Church-Wellesley (167),Theft Over,216
Clairlea-Birchmount (120),Assault,3005
Clairlea-Birchmount (120),Auto Theft,718
Clairlea-Birchmount (120),Break and Enter,931
Clairlea-Birchmount (120),NonMCI,1275
Clairlea-Birchmount (120),Robbery,322
Clairlea-Birchmount (120),Theft Over,149
Clanton Park (33),Assault,1009
Clanton Park (33),Auto Theft,766
Clanton Park (33),Break and Enter,543
Clanton Park (33),NonMCI,675
Clanton Park (33),Robbery,129
Clanton Park (33),Theft Over,102
Cliffcrest (123),Assault,1367
Cliffcrest (123),Auto Theft,343
Cliffcrest (123),Break and Enter,461
Cliffcrest (123),NonMCI,790
Cliffcrest (123),Robbery,210
Cliffcrest (123),Theft Over,64
Corso Italia-Davenport (92),Assault,1126
Corso Italia-Davenport (92),Auto Theft,237
Corso Italia-Davenport (92),Break and Enter,364
Corso Italia-Davenport (92),NonMCI,361
Corso Italia-Davenport (92),Robbery,205
Corso Italia-Davenport (92),Theft Over,59
Danforth (66),Assault,1141
Danforth (66),Auto Theft,173
Danforth (66),Break and Enter,423
Danforth (66),NonMCI,470
Danforth (66),Robbery,218
Danforth (66),Theft Over,44
Danforth East York (59),Assault,790
Danforth East York (59),Auto Theft,254
Danforth East York (59),Break and Enter,293
Danforth East York (59),NonMCI,584
Danforth East York (59),Robbery,63
Danforth East York (59),Theft Over,47
Don Valley Village (47),Assault,1502
Don Valley Village (47),Auto Theft,641
Don Valley Village (47),Break and Enter,527
Don Valley Village (47),NonMCI,808
Don Valley Village (47),Robbery,297
Don Valley Village (47),Theft Over,134
Dorset Park (126),Assault,1975
Dorset Park (126),Auto Theft,753
Dorset Park (126),Break and Enter,832
Dorset Park (126),NonMCI,955
Dorset Park (126),Robbery,329
Dorset Park (126),Theft Over,130
Dovercourt Village (172),Assault,1124
Dovercourt Village (172),Auto Theft,220
Dovercourt Village (172),Break and Enter,490
Dovercourt Village (172),NonMCI,515
Dovercourt Village (172),Robbery,206
Dovercourt Village (172),Theft Over,46
Downsview (155),Assault,1625
Downsview (155),Auto Theft,694
Downsview (155),Break and Enter,441
Downsview (155),NonMCI,692
Downsview (155),Robbery,217
Downsview (155),Theft Over,121
Downtown Yonge East (168),Assault,5531
Downtown Yonge East (168),Auto Theft,380
Downtown Yonge East (168),Break and Enter,1359
Downtown Yonge East (168),NonMCI,1848
Downtown Yonge East (168),Robbery,1032
Downtown Yonge East (168),Theft Over,281
Dufferin Grove (83),Assault,1129
Dufferin Grove (83),Auto Theft,145
Dufferin Grove (83),Break and Enter,432
Dufferin Grove (83),NonMCI,400
Dufferin Grove (83),Robbery,197
Dufferin Grove (83),Theft Over,75
East End-Danforth (62),Assault,2091
East End-Danforth (62),Auto Theft,351
East End-Danforth (62),Break and Enter,801
East End-Danforth (62),NonMCI,917
East End-Danforth (62),Robbery,312
East End-Danforth (62),Theft Over,101
East L'Amoreaux (148),Assault,867
East L'Amoreaux (148),Auto Theft,282
East L'Amoreaux (148),Break and Enter,388
East L'Amoreaux (148),NonMCI,356
East L'Amoreaux (148),Robbery,170
East L'Amoreaux (148),Theft Over,51
East Willowdale (152),Assault,577
East Willowdale (152),Auto Theft,356
East Willowdale (152),Break and Enter,622
East Willowdale (152),NonMCI,492
East Willowdale (152),Robbery,185
East Willowdale (152),Theft Over,84
Edenbridge-Humber Valley (9),Assault,418
Edenbridge-Humber Valley (9),Auto Theft,452
Edenbridge-Humber Valley (9),Break and Enter,504
Edenbridge-Humber Valley (9),NonMCI,447
Edenbridge-Humber Valley (9),Robbery,53
Edenbridge-Humber Valley (9),Theft Over,61
Eglinton East (138),Assault,2052
Eglinton East (138),Auto Theft,398
Eglinton East (138),Break and Enter,557
Eglinton East (138),NonMCI,846
Eglinton East (138),Robbery,356
Eglinton East (138),Theft Over,85
Elms-Old Rexdale (5),Assault,711
Elms-Old Rexdale (5),Auto Theft,378
Elms-Old Rexdale (5),Break and Enter,138
Elms-Old Rexdale (5),NonMCI,321
Elms-Old Rexdale (5),Robbery,147
Elms-Old Rexdale (5),Theft Over,24
Englemount-Lawrence (32),Assault,1138
Englemount-Lawrence (32),Auto Theft,410
Englemount-Lawrence (32),Break and Enter,450
Englemount-Lawrence (32),NonMCI,587
Englemount-Lawrence (32),Robbery,186
Englemount-Lawrence (32),Theft Over,82
Eringate-Centennial-West Deane (11),Assault,670
Eringate-Centennial-West Deane (11),Auto Theft,593
Eringate-Centennial-West Deane (11),Break and Enter,294
Eringate-Centennial-West Deane (11),NonMCI,505
Eringate-Centennial-West Deane (11),Robbery,117
Eringate-Centennial-West Deane (11),Theft Over,51
Etobicoke City Centre (159),Assault,2013
Etobicoke City Centre (159),Auto Theft,1521
Etobicoke City Centre (159),Break and Enter,853
Etobicoke City Centre (159),NonMCI,1403
Etobicoke City Centre (159),Robbery,285
Etobicoke City Centre (159),Theft Over,483
Etobicoke West Mall (13),Assault,610
Etobicoke West Mall (13),Auto Theft,254
Etobicoke West Mall (13),Break and Enter,182
Etobicoke West Mall (13),NonMCI,308
Etobicoke West Mall (13),Robbery,57
Etobicoke West Mall (13),Theft Over,42
Fenside-Parkwoods (150),Assault,1210
Fenside-Parkwoods (150),Auto Theft,361
Fenside-Parkwoods (150),Break and Enter,325
Fenside-Parkwoods (150),NonMCI,548
Fenside-Parkwoods (150),Robbery,147
Fenside-Parkwoods (150),Theft Over,43
Flemingdon Park (44),Assault,1563
Flemingdon Park (44),Auto Theft,252
Flemingdon Park (44),Break and Enter,229
Flemingdon Park (44),NonMCI,484
Flemingdon Park (44),Robbery,144
Flemingdon Park (44),Theft Over,51
Forest Hill North (102),Assault,492
Forest Hill North (102),Auto Theft,270
Forest Hill North (102),Break and Enter,386
Forest Hill North (102),NonMCI,338
Forest Hill North (102),Robbery,95
Forest Hill North (102),Theft Over,43
Forest Hill South (101),Assault,268
Forest Hill South (101),Auto Theft,363
Forest Hill South (101),Break and Enter,484
Forest Hill South (101),NonMCI,261
Forest Hill South (101),Robbery,40
Forest Hill South (101),Theft Over,69
Fort York-Liberty Village (163),Assault,1505
Fort York-Liberty Village (163),Auto Theft,213
Fort York-Liberty Village (163),Break and Enter,490
Fort York-Liberty Village (163),NonMCI,428
Fort York-Liberty Village (163),Robbery,84
Fort York-Liberty Village (163),Theft Over,152
Glenfield-Jane Heights (25),Assault,3394
Glenfield-Jane Heights (25),Auto Theft,954
Glenfield-Jane Heights (25),Break and Enter,458
Glenfield-Jane Heights (25),NonMCI,864
Glenfield-Jane Heights (25),Robbery,430
Glenfield-Jane Heights (25),Theft Over,147
Golfdale-Cedarbrae-Woburn (141),Assault,2147
